Subject,Level,Score,Explenation,,,,,,,,,
Math,6,669,"התלמידים ברמה זו יכולים להמשיג ולהכליל מידע המבוסס על חקירות והדגמות שעשו ולהשתמש בו למצבים מורכבים של בעיות. הם יכולים לקשור בין מקורות מידע וייצוגים שונים ולתרגם בגמישות מקור מידע/ייצוג אחד למשנהו. לתלמידים יכולת חשיבה והסקה מתמטית מתקדמת. הם יכולים ליישם את ההבנה והתובנות שלהם, תוך שליטה באופרציות וביחסים מתמטיים סימבוליים ופורמליים, כדי לפתח גישות ואסטרטגיות חדשות להתמודדות עם מצבים חדשים. התלמידים יכולים לנסח ולהסביר בדייקנות את פעולותיהם ומחשבותיהם בנוגע לממצאיהם, פירושיהם וטיעוניהם, ואת מידת ההתאמה של כל אלה למצבים המקוריים שבהם הוצגו הבעיות. ",,,,,
Math,5,607,"התלמידים ברמה זו מסוגלים לפתח מודלים במצבים מורכבים ולעבוד עמם, תוך זיהוי האילוצים וההנחות שבבסיס הבעיה. הם יכולים לבחור, להשוות ולהעריך אסטרטגיות לפתרון בעיות כדי להתמודד עם בעיות מורכבות הקשורות למודלים אלו. הם מגלים יכולת לחשיבה מורכבת ורחבה וביכולתם לתכנן את דרך פעולתם בהתאם לכך. התלמידים מסוגלים לקשר בין ייצוגים שונים, מאפיינים סימבוליים ופורמליים ותובנות המתייחסים למצבים אלו. הם יכולים לעשות רפלקציה לפעולותיהם ולנסח ולהסביר את הפירושים והמסקנות שהגיעו אליהם. ",,,,,,
Math,4,545,"התלמידים ברמה זו יכולים לעבוד ביעילות עם מודלים ברורים בבואם להתמודד עם מצבים מורכבים קונקרטיים, תוך זיהוי האילוצים וההנחות העומדים בבסיס הבעיה. הם יכולים לבחור ולשלב ייצוגים שונים, ובהם גם ייצוגים סימבוליים, ולקשר אותם ישירות להיבטים של מצבים בחיי היום-יום. התלמידים יכולים להשתמש במיומנויותיהם בגמישות, לנתח את הבעיה, ולהגיע למידה מסוימת של תובנות. זאת ועוד: הם יכולים להסביר לאחרים ולהַבנות טיעונים המבוססים על פעולותיהם ועל האופן שבו פירשו את הבעיה. ",,,,
Math,3,482,"התלמידים ברמה זו מסוגלים להוציא אל הפועל הליכים פשוטים, ובהם תהליכים המצריכים קבלת החלטות סדרתית. ביכולתם לבחור וליישם אסטרטגיות פשוטות לפתרון בעיות. התלמידים יכולים לפרש ייצוגים המבוססים על מקורות מידע שונים, להשתמש בהם ולהסיק ישירות מהם. הם יכולים לפתח הסברים קצרים לשם דיווח על פרשנויותיהם, ממצאיהם ומסקנותיהם. ",,,,,,
Math,2,420,"התלמידים ברמה זו יכולים לפרש ולזהות מצבים בהקשרים המצריכים הסקה ישירה ותו לא. ביכולתם להוציא מידע רלוונטי ממקור מידע אחד ולהשתמש במודל ייצוג אחד. התלמידים יכולים להשתמש באלגוריתמים, נוסחאות, הליכים או מוסכמות בסיסיים ולהציע פרשנות כתובה לממצאיהם. ",,,,,,,
Math,1,358,התלמידים ברמה זו יכולים לענות על שאלות הכוללות הֶקשרים מוכרים שכל המידע הרלוונטי מוצג בהן ואשר מוגדרות באופן ברור. הם מסוגלים לזהות מידע ולבצע הליכים שגרתיים לפי הוראות ישירות במצבים ברורים. ביכולתם לבצע פעולות מובנות מאליהן הנובעות מגירוי נתון.,,,,,,,,,
Reading,6,698,"בדרך כלל התלמיד יודע לעשות היקשים, השוואות והנגדות מרובים, באופן מפורט ומדויק כאחד. הקורא מסוגל להראות הבנה מלאה ומפורטת של טקסט נתון, ולעתים המשימות כרוכות במיזוג של מידע משני טקסטים או יותר. הקורא עשוי להתמודד עם רעיונות לא מוכרים לנוכח מידע מתחרה בולט וליצור קטגוריות מופשטות לפרשנויות. במשימות הערכה וביקורת הוא עשוי להעלות השערות או לעשות הערכה ביקורתית בנוגע לטקסט מורכב בנושא לא מוכר, תוך התחשבות במספר רב של אמות מידה או נקודות מבט ויישום של הבנה מתוחכמת שמקורה מעבר לטקסט. תנאי חשוב במשימות של איתור מידע ואחזורו ברמה זו הוא דיוק בניתוח ותשומת לב קפדנית לפרטים שאינם בולטים בטקסטים.",,,,,
Reading,5,626,"התלמיד מצליח בדרך כלל להתמודד עם משימות הכרוכות באחזור מידע, המחייבות אותו לאתר ולארגן מספר פיסות מידע שיש לחלצן מתוך הטקסט ולהסיק מהו המידע הרלוונטי. משימות הכרוכות בהערכה וביקורת מצריכות הערכה או העלאת השערות ביקורתיות, תוך הסתמכות על ידע ספציפי. אלו גם אלו מצריכות הבנה מלאה ומפורטת של טקסט שתוכנו או צורתו אינם מוכרים. בכל תהליכי הקריאה, משימות ברמה זו כרוכות בדרך כלל בהתמודדות עם מושגים המנוגדים לציפיות.",,,,,,
Reading,4,553,"התלמיד מצליח על פי רוב להתמודד עם משימות הכרוכות באחזור מידע המחייבות אותו לאתר ולארגן מספר פיסות מידע שיש לחלצן מן הטקסט. מקצת המשימות מצריכות פרשנות בנוגע לניואנסים לשוניים בקטע מסוים בטקסט, תוך התייחסות לטקסט בכללותו. משימות פרשנות אחרות מצריכות הבנה ויישום של קטגוריות בהקשר לא מוכר. במשימות ההערכה התלמיד נדרש להיעזר בידע רשמי או ציבורי כדי להעלות השערות בנוגע לטקסט או להעריכו באופן ביקורתי. עליו להראות הבנה מדויקת של טקסטים ארוכים או מורכבים, שייתכן כי תוכנם או צורתם אינם מוכרים לו.",,,,,,,
Reading,3,480,"התלמיד מצליח בדרך כלל להתמודד עם משימות המחייבות לזהות את הקשר בין מספר פיסות מידע החייבות לעמוד במספר תנאים. משימות פרשנות ברמה זו מצריכות מיזוג של כמה חלקים מן הטקסט כדי לזהות רעיון מרכזי, להבין יחס, או לפרש מילה או משפט. על הקורא להביא בחשבון מאפיינים רבים בבואו לעשות השוואה,; הנגדה או סיווג. לעתים קרובות המידע הדרוש אינו בולט או שיש שפע של מידע מתחרה;; לעתים יש מכשולים טקסטואליים אחרים;, כגון רעיונות המנוגדים לציפיות הנבנות בעת קריאת הטקסט או מנוסחים על דרך השלילה. במשימות הערכה ברמה זו התלמיד עשוי להידרש לעשות קישורים והשוואות ולהסביר או להעריך אחד ממאפייני הטקסט. במשימות הערכה מסוימות עליו להראות הבנה מעמיקה של הטקסט ביחס לידע מוכר ויום-יומי. במשימות אחרות לא נדרשת הבנה מפורטת של הטקסט, אך הקורא נדרש להסתמך על ידע נפוץ פחות.",,,,
Reading,2,407,"מקצת המשימות ברמה זו שהתלמיד מצליח להתמודד עמן מצריכות איתור של פיסת מידע אחת או יותר שיש להסיק מתוך הטקסט ולוודא שהן עומדות במספר תנאים. במשימות אחרות הקורא עשוי להידרש לזהות רעיון מרכזי בטקסט, להבין יחסים וקשרים או להבין משמעות בתוך חלק מסוים בטקסט, כאשר המידע אינו בולט והקורא נדרש להיסקים ברמה נמוכה. משימות ברמה זו עשויות לכלול השוואות או הנגדות על סמך מאפיין יחיד בטקסט. במשימות הערכה טיפוסיות ברמה זו על התלמיד לעשות השוואה או קישור בין הטקסט לבין ידע חיצוני, על סמך התנסות אישית ועמדות אישיות.",,,,,,
Reading,1,335,"התלמיד מסוגל לאתר פיסה של מידע מפורש, או כמה פיסות של מידע מפורש שאינן תלויות זו בזו, לזהות את הנושא המרכזי או את כוונת המחבר בטקסט על נושא מוכר, או לעשות קישור פשוט בין מידע מתוך הטקסט לבין ידע נפוץ, יום-יומי. בדרך כלל המידע הנדרש בולט בטקסט, ואין, או כמעט אין, מידע מתחרה.",,
Reading,0,262,"התלמיד מצליח לאתר פיסה אחת של מידע מפורש המצויה במקום בולט, בטקסט קצר ופשוט מבחינה תחבירית, מהֶקשר ומסוג מוכרים כגון  נרטיב או רשימה פשוטה. בדרך כלל הטקסט מציע לתלמיד תמיכה, כגון חזרה על מידע, הצגת תמונות או סמלים מוכרים, ועוד. בטקסט שעמו הוא מתמודד יש כמות מזערית של מידע מתחרה. במשימות המצריכות פרשנות הקורא עשוי להידרש לעשות קישורים פשוטים בין פיסות מידע סמוכות זו לזו. ",,,,
DigitalReading,5,626,"התלמיד יודע לאתר, לנתח ולהעריך באופן ביקורתי מידע בהקשר לא מוכר וברמת עמימות מסוימת וליצור אמת מידה הדרושה להערכת הטקסט. התלמיד יודע לנווט על פני מספר אתרים ללא כיוון מוגדר כלשהו וללא בחינה מדוקדקת של הטקסט, המוצג במגוון פורמטים.",,,,,,,
DigitalReading,4,553,התלמיד מסוגל להעריך מידע מכמה מקורות ולנווט על פני כמה אתרים המכילים טקסטים בפורמטים שונים. כמו כן הוא מסוגל ליצור אמת מידה להערכת ההקשר שבו נתון הטקסט. במשימות אחרות ברמה זו שהתלמיד מתמודד עמן הוא נדרש לפרש מידע מורכב על פי אמת מידה מוגדרת היטב בהקשר טכנולוגי או מדעי מסוים.,,,,,,,,,
DigitalReading,3,480,"התלמיד מסוגל להעריך מידע, אם באמצעות ניווט על פני מספר אתרים כדי למצוא מידע מוגדר היטב, ואם באמצעות יצירת קטגוריות פשוטות כאשר המשימה אינה מוגדרת מפורשות. תהליך ההערכה נעשה בעיקר על מידע נגיש באופן ישיר או על חלק ממנו.",,,,,,,
DigitalReading,2,407,התלמיד מסוגל בדרך כלל לאתר ולהעריך מידע מוגדר היטב וכזה המצוי בהקשרים מוכרים. משימות שבהן נדרש ניווט על פני מספר מוגבל של אתרים ושימוש בכלי ניווט ייעשה רק כאשר הדבר נדרש באופן ישיר ומפורש. המשימות עשויות לדרוש תכלול של מידע המוצג בפורמטים שונים וזאת באמצעות זיהוי של דוגמאות המתאימות היטב לקטגוריות שונות.  ,,,,,,,,,
Science,6,708,"התלמידים מסוגלים לזהות, להסביר וליישם ""ידע של מדע"" ו""ידע על מדע"" במגוון מצבים מורכבים השאובים מחיי היום-יום, לקשור מידע והסברים ממקורות שונים ולהשתמש בהוכחות ממקורות אלו כדי להצדיק את החלטותיהם. הם מדגימים באופן עקבי וברור חשיבה מדעית ושיקול דעת מתקדמים, ונכונות להשתמש בהבנה המדעית שלהם כדי לתמוך בפתרונות מדעיים וטכנולוגיים למצבים לא מוכרים. תלמידים ברמה זו מסוגלים להשתמש בידע המדעי ולפתח טיעונים כדי לתמוך בהחלטות ובהמלצות המתייחסות לפרט, לחברה או לעולם כולו.",,,,,
Science,5,633,"התלמידים מסוגלים לזהות מרכיבים מדעיים במצבים מורכבים רבים השאובים מחיי היום-יום, ליישם הן מושגים מדעיים והן ""ידע על מדע"" למצבים אלו, ולהשוות, לבחור ולהעריך ראיות מדעיות הולמות כדי להגיב על מצבים יום-יומיים. התלמידים מסוגלים להפעיל יכולות חקירה טובות, לקשר ידע מדעי ולהציג חשיבה ביקורתית. הם מסוגלים לספק הסברים על סמך הוכחות וטיעונים המתבססים על ניתוח ביקורתי שעשו.",,,,,
Science,4,559,;התלמידים מסוגלים לטפל ביעילות במצבים ובנושאים שכוללים תופעה המחייבת אותם להסיק מסקנות בדבר תפקיד המדע או הטכנולוגיה;; לבחור ולשלב הסברים מתחומי דעת שונים של מדע או טכנולוגיה ולקשר אותם למצבים יום-יומיים;; לעשות רפלקציה על פעולותיהם ולהציג את החלטותיהם תוך שימוש בידע ובראיות מדעיות.;,,,,,,,,,
Science,3,484,;"התלמידים מסוגלים לזהות ולתאר בבהירות נושאים מדעיים במגוון הֶקשרים;; לבחור עובדות וידע כדי להסביר תופעה וליישם מודלים פשוטים או מיומנויות חקר;; לפרש מושגים מדעיים מתחומי דעת שונים;,; להשתמש בהם וליישמם;; לבנות הסברים קצרים תוך שימוש בעובדות ולהציג החלטות המבוססות על ידע מדעי.";,,,,,,,,
Science,2,410,לתלמידים יש דֵי ידע מדעי לספק הסברים אפשריים בהקשרים מוכרים או להסיק מסקנות המבוססות על מחקרים פשוטים. הם מסוגלים לחשיבה ישירה ולניסוח מילולי של מסקנות ממחקר מדעי או של פתרון בעיה טכנולוגית.,,,,,,,,,
Science,1,335,"לתלמידים ידע מדעי מוגבל שאפשר ליישמו במצבים מוכרים מעטים. הם יכולים להציג הסברים מדעיים מובָנים מאליהם, הנובעים ישירות מהוכחות נתונות.",,,,,,,,
