ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
ST02Q01,National Study Programme,Me,National Study Programme,,,,כיתה,,,,2012,,,,,,,,,,,
ST03Q01,Birth - Month,Me,Birth,Month,,,תאריך לידה,חודש,,,2012,,,,,,,,,,,
ST03Q02,Birth -Year,Me,Birth,Year,,,תאריך לידה,שנה,,,2012,,,,,,,,,,,
ST04Q01,Gender,Me,Gender,,,,מין,,,,2012,,,,,,,,,,,
ST05Q01,Attend <ISCED 0>,Me,Attend <ISCED 0>,,,מאפייני התלמיד,האם הלכת לגן ילדים (לא כולל מעונות ומשפחתונים),,,,2012,,,,,,,,,,,
ST06Q01,Age at <ISCED 1>,Me,Age at <ISCED 1>,,,מאפייני התלמיד,באיזה גיל התחלת ללכת לכיתה א',,,,2012,,,,,,,,,,,
ST07Q01,Repeat - <ISCED 1>,Me,Repeat,<ISCED 1>,,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות א-ו,,,2012,,,,,,,,,,,
ST07Q02,Repeat - <ISCED 2>,Me,Repeat,<ISCED 2>,,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות ז-ט,,,2012,,,,,,,,,,,
ST07Q03,Repeat - <ISCED 3>,Me,Repeat,<ISCED 3>,,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות י-יב,,,2012,,,,,,,,,,,
ST08Q01,Truancy - Late for School,Me,Truancy,Late for School,,מאפייני התלמיד,העדרות מבית הספר,איחור,,,2012,,,,,,,,,,,
ST09Q01,Truancy - Skip whole school day,Me,Truancy,Skip whole school day,,מאפייני התלמיד,העדרות מבית הספר,העדרות מיום לימודים,,,2012,,,,,,,,,,,
ST115Q01,Truancy - Skip classes within school day,Me,Truancy,Skip classes within school day,,מאפייני התלמיד,העדרות מבית הספר,העדרות משיעור,,,2012,,,,,,,,,,,
ST11Q01,At Home - Mother,Family and Home,At Home,Mother,,משפחה,מי גר איתך בבית,אמא,,,2012,,,,,,,,,,,
ST11Q02,At Home - Father,Family and Home,At Home,Father,,משפחה,מי גר איתך בבית,אבא,,,2012,,,,,,,,,,,
ST11Q03,At Home - Brothers,Family and Home,At Home,Brothers,,משפחה,מי גר איתך בבית,אחים,,,2012,,,,,,,,,,,
ST11Q04,At Home - Sisters,Family and Home,At Home,Sisters,,משפחה,מי גר איתך בבית,אחיות,,,2012,,,,,,,,,,,
ST11Q05,At Home - Grandparents,Family and Home,At Home,Grandparents,,משפחה,מי גר איתך בבית,סבים,,,2012,,,,,,,,,,,
ST11Q06,At Home - Others,Family and Home,At Home,Others,,משפחה,מי גר איתך בבית,אחרים (בני דודים),,,2012,,,,,,,,,,,
ST13Q01,Mother<Highest Schooling>,Family and Home,Mother<Highest Schooling>,,,משפחה,השכלת האם,,,,,,,,,,,,,,,
,תיכון עם תעודת בגרות,,,2012,,,,,,,,,,,,,,,,,,
ST14Q01,Mother Qualifications - <ISCED level 6>,Family and Home,Mother Qualifications,<ISCED level 6>,,משפחה,השכלת האם,,,,,,,,,,,,,,,
,תיכון ללא תעודת בגרות,,,2012,,,,,,,,,,,,,,,,,,
ST14Q02,Mother Qualifications - <ISCED level 5A>,Family and Home,Mother Qualifications,<ISCED level 5A>,,משפחה,השכלת האם,,,,,,,,,,,,,,,
,חטיבת ביניים,,,2012,,,,,,,,,,,,,,,,,,
ST14Q03,Mother Qualifications - <ISCED level 5B>,Family and Home,Mother Qualifications,<ISCED level 5B>,,משפחה,השכלת האם,,,,,,,,,,,,,,,
,בית ספר יסודי,,,2012,,,,,,,,,,,,,,,,,,
ST14Q04,Mother Qualifications - <ISCED level 4>,Family and Home,Mother Qualifications,<ISCED level 4>,,משפחה,השכלת האם,,,,,,,,,,,,,,,
,לא סיימה בית ספר יסודי,,,2012,,,,,,,,,,,,,,,,,,
ST15Q01,Mother Current Job Status,Family and Home,Mother Current Job Status,,,משפחה,עבודת האם,,,,2012,,,,,,,,,,,
ST17Q01,Father<Highest Schooling>,Family and Home,Father<Highest Schooling>,,,משפחה,השכלת האב,,,,,,,,,,,,,,,
,תיכון עם תעודת בגרות,,,2012,,,,,,,,,,,,,,,,,,
ST18Q01,Father Qualifications - <ISCED level 6>,Family and Home,Father Qualifications,<ISCED level 6>,,משפחה,השכלת האב,,,,,,,,,,,,,,,
,תיכון ללא תעודת בגרות,,,2012,,,,,,,,,,,,,,,,,,
ST18Q02,Father Qualifications - <ISCED level 5A>,Family and Home,Father Qualifications,<ISCED level 5A>,,משפחה,השכלת האב,,,,,,,,,,,,,,,
,חטיבת ביניים,,,2012,,,,,,,,,,,,,,,,,,
ST18Q03,Father Qualifications - <ISCED level 5B>,Family and Home,Father Qualifications,<ISCED level 5B>,,משפחה,השכלת האב,,,,,,,,,,,,,,,
,בית ספר יסודי,,,2012,,,,,,,,,,,,,,,,,,
ST18Q04,Father Qualifications - <ISCED level 4>,Family and Home,Father Qualifications,<ISCED level 4>,,משפחה,השכלת האב,,,,,,,,,,,,,,,
,לא סיים בית ספר יסודי,,,2012,,,,,,,,,,,,,,,,,,
ST19Q01,Father Current Job Status,Family and Home,Father Current Job Status,,,משפחה,עבודת האב,,,,2012,,,,,,,,,,,
ST20Q01,Country of Birth - Self,Family and Home,Country of Birth,Self,,משפחה,ארץ לידה,תלמיד/ה,באיזו ארץ נולדת ובאילו ארצות נולדו הוריך? ישראל,מדינות חבר העמים,אתיופיה,ארצות הברית,צרפת,מדינות אמריקה הלטינית,מדינות אחרות,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,
ST20Q02,Country of Birth - Mother,Family and Home,Country of Birth,Mother,,משפחה,ארץ לידה,אמא,באיזו ארץ נולדת ובאילו ארצות נולדו הוריך? ישראל,מדינות חבר העמים,אתיופיה,ארצות הברית,צרפת,מדינות אמריקה הלטינית,מדינות אחרות,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,
ST20Q03,Country of Birth - Father,Family and Home,Country of Birth,Father,,משפחה,ארץ לידה,אבא,באיזו ארץ נולדת ובאילו ארצות נולדו הוריך? ישראל,מדינות חבר העמים,אתיופיה,ארצות הברית,צרפת,מדינות אמריקה הלטינית,מדינות אחרות,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,
ST21Q01,Age of arrival in <country of test>,Family and Home,Age of arrival in <country of test>,,,משפחה,גיל עליה,,אם לא נולדת בישראל,באיזה גיל הגעת לישראל,,2012,,,,,,,,,,
ST25Q01,International Language at Home,Family and Home,International Language at Home,,,משפחה,שפה בבית,,באיזו שפה אתה מדבר בבית רוב הזמן? עברית,ערבית,רוסית (או שפות אחרות ממדינות חבר העמים),אמהרית/טיגרית,אנגלית,צרפתית,ספרדית,שפה אחרת,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,
ST26Q01,Possessions - desk,Family and Home,Possessions,desk,,משפחה ובית,חפצים,שולחן לימודים,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q02,Possessions - own room,Family and Home,Possessions,own room,,,,,חדר פרטי,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q03,Possessions - study place,Family and Home,Possessions,study place,,משפחה ובית,חפצים,מקום שקט ללמוד,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q04,Possessions - computer,Family and Home,Possessions,computer,,משפחה ובית,חפצים,מחשב ללימודים,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q05,Possessions - software,Family and Home,Possessions,software,,משפחה ובית,חפצים,תוכנה לימודית,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q06,Possessions - Internet,Family and Home,Possessions,Internet,,משפחה ובית,חפצים,חיבור לאינטרנט,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q07,Possessions - literature,Family and Home,Possessions,literature,,משפחה ובית,חפצים,ספרות קלאסית,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q08,Possessions - poetry,Family and Home,Possessions,poetry,,משפחה ובית,חפצים,ספרי שירה,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q09,Possessions - art,Family and Home,Possessions,art,,משפחה ובית,חפצים,יצירות אמנות,,,,,,,,,,,,,,
,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,,,,,,,,,
ST26Q10,Possessions - textbooks,Family and Home,Possessions,textbooks,,משפחה ובית,חפצים,ספרי עזר ללימודים,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q11,Possessions - <technical reference books>,Family and Home,Possessions,technical reference books,,משפחה ובית,חפצים,ספרי עזר טכניים,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q12,Possessions - dictionary,Family and Home,Possessions,dictionary,,משפחה ובית,חפצים,מילון,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q13,Possessions - dishwasher,Family and Home,Possessions,dishwasher,,משפחה ובית,חפצים,מדיח כלים,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q14,Possessions - <DVD>,Family and Home,Possessions,DVD,,משפחה ובית,חפצים,DVD,,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q15,Possessions - <Country item 1>,,Possessions,<Country item 1>,,,,,שימוש בלוח רכבות,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q16,Possessions - <Country item 2>,,Possessions,<Country item 2>,,,,,מכונת אספרסו,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST26Q17,Possessions - <Country item 3>,,Possessions,<Country item 3>,,משפחה ובית,חפצים,,מערכת קולנוע ביתית,אילו מן הדברים הבאים יש לך בבית,2012,,,,,,,,,,,
ST27Q01,How many - cellular phones,Family and Home,Possessions,cellular phones,,משפחה ובית,חפצים,טלפונים ניידים,,כמה מן הדברים הבאים יש בביתך,2012,,,,,,,,,,,
ST27Q02,How many - televisions,Family and Home,Possessions,televisions,,משפחה ובית,חפצים,מכשירי טלוויזיה,,כמה מן הדברים הבאים יש בביתך,2012,,,,,,,,,,,
ST27Q03,How many - computers,Family and Home,Possessions,computers,,משפחה ובית,חפצים,מחשבים,,כמה מן הדברים הבאים יש בביתך,2012,,,,,,,,,,,
ST27Q04,How many - cars,Family and Home,Possessions,cars,,משפחה ובית,חפצים,מכוניות,,כמה מן הדברים הבאים יש בביתך,2012,,,,,,,,,,,
ST27Q05,How many - rooms bath or shower,,Possessions,rooms bath or shower,,,,,חדרי רחצה,כמה מן הדברים הבאים יש בביתך,2012,,,,,,,,,,,
ST28Q01,How many books at home,,Possessions,,,,,,ספרים בבית,כמה ספרים יש בביתך,2012,,,,,,,,,,,
ST29Q01,Maths Interest - Enjoy Reading,Learning Mathematics,Maths Interest,Enjoy Reading,,לימודי מתמטיקה,עניין,נהנה לקרוא,,,2012,,,,,,,,,,,
ST29Q02,Instrumental Motivation - Worthwhile for Work,Learning Mathematics,Instrumental Motivation,Worthwhile for Work,,לימודי מתמטיקה,מוטיבציה,משתלם לעבודה,,,2012,,,,,,,,,,,
ST29Q03,Maths Interest - Look Forward to Lessons,Learning Mathematics,Maths Interest,Look Forward to Lessons,,לימודי מתמטיקה,עניין,מצפה לשיעורים,,,2012,,,,,,,,,,,
ST29Q04,Maths Interest - Enjoy Maths,Learning Mathematics,Maths Interest,Enjoy Maths,,לימודי מתמטיקה,עניין,נהנה ממתמטיקה,,,2012,,,,,,,,,,,
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,Learning Mathematics,Instrumental Motivation,Worthwhile for Career Chances,,לימודי מתמטיקה,מוטיבציה,טוב לקריירה,,,2012,,,,,,,,,,,
ST29Q06,Maths Interest - Interested,Learning Mathematics,Maths Interest,Interested,,לימודי מתמטיקה,עניין,מתעניין,,,2012,,,,,,,,,,,
ST29Q07,Instrumental Motivation - Important for Future Study,Learning Mathematics,Instrumental Motivation,Important for Future Study,,לימודי מתמטיקה,מוטיבציה,חשוב ללימודים בהמשך,,,2012,,,,,,,,,,,
ST29Q08,Instrumental Motivation - Helps to Get a Job,Learning Mathematics,Instrumental Motivation,Helps to Get a Job,,לימודי מתמטיקה,מוטיבציה,עוזר למצוא עבודה,,,2012,,,,,,,,,,,
ST35Q01,Subjective Norms - Friends Do Well in Mathematics,Learning Mathematics,Subjective Norms,Friends Do Well in Mathematics,,לימודי מתמטיקה,נורמות אישיות,חבריי מצליחים במתמטיקה,,,2012,,,,,,,,,,,
ST35Q02,Subjective Norms - Friends Work Hard on Mathematics,Learning Mathematics,Subjective Norms,Friends Work Hard on Mathematics,,לימודי מתמטיקה,נורמות אישיות,חבריי משקיעים במתמטיקה,,,2012,,,,,,,,,,,
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,Learning Mathematics,Subjective Norms,Friends Enjoy Mathematics Tests,,לימודי מתמטיקה,נורמות אישיות,חבריי אוהבים מבחנים במתמטיקה,,,2012,,,,,,,,,,,
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,Learning Mathematics,Subjective Norms,Parents Believe Studying Mathematics Is Important,,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה זה חשוב,,,2012,,,,,,,,,,,
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,Learning Mathematics,Subjective Norms,Parents Believe Mathematics Is Important for Career,,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה חשובה לקריירה,,,2012,,,,,,,,,,,
ST35Q06,Subjective Norms - Parents Like Mathematics,Learning Mathematics,Subjective Norms,Parents Like Mathematics,,לימודי מתמטיקה,נורמות אישיות,הוריי אוהבים מתמטיקה,,,2012,,,,,,,,,,,
ST37Q01,Maths Self-Efficacy - Using a <Train Timetable>,Learning Mathematics,Maths Self,Using a <Train Timetable>,,לימודי מתמטיקה,הערכת עצמית,שימוש בלוח רכבות,,,2012,,,,,,,,,,,
ST37Q02,Maths Self-Efficacy - Calculating TV Discount,Learning Mathematics,Maths Self,Calculating TV Discount,,לימודי מתמטיקה,הערכת עצמית,חישוב הנחה על טלוויזיה,,,2012,,,,,,,,,,,
ST37Q03,Maths Self-Efficacy - Calculating Square Metres of Tiles,Learning Mathematics,Maths Self,Calculating Square Metres of Tiles,,לימודי מתמטיקה,הערכת עצמית,חישוב שטח רצפה,,,2012,,,,,,,,,,,
ST37Q04,Maths Self-Efficacy - Understanding Graphs in Newspapers,Learning Mathematics,Maths Self,Understanding Graphs in Newspapers,,לימודי מתמטיקה,הערכת עצמית,הבנת גרפים בעיתונים,,,2012,,,,,,,,,,,
ST37Q05,Maths Self-Efficacy - Solving Equation 1,Learning Mathematics,Maths Self,Solving Equation 1,,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 1,,,2012,,,,,,,,,,,
ST37Q06,Maths Self-Efficacy - Distance to Scale,Learning Mathematics,Maths Self,Distance to Scale,,לימודי מתמטיקה,הערכת עצמית,,,,2012,,,,,,,,,,,
ST37Q07,Maths Self-Efficacy - Solving Equation 2,Learning Mathematics,Maths Self,Solving Equation 2,,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 2,,,2012,,,,,,,,,,,
ST37Q08,Maths Self-Efficacy - Calculate Petrol Consumption Rate,Learning Mathematics,Maths Self,Calculate Petrol Consumption Rate,,לימודי מתמטיקה,הערכת עצמית,,,,2012,,,,,,,,,,,
ST42Q01,Maths Anxiety - Worry That It Will Be Difficult,Learning Mathematics,Maths Anxiety,Worry That It Will Be Difficult,,לימודי מתמטיקה,חרדות,פחד שיהיה קשה,,,2012,,,,,,,,,,,
