;ID;,;Measurment;,;Subject;,;Category;,;SubCategory;
;SC01Q01;,;Grade 1;,;Grade;,1,
;SC01Q02;,;Grade 2;,;Grade;,2,
;SC01Q03;,;Grade 3;,;Grade;,3,
;SC01Q04;,;Grade 4;,;Grade;,4,
;SC01Q05;,;Grade 5;,;Grade;,5,
;SC01Q06;,;Grade 6;,;Grade;,6,
;SC01Q07;,;Grade 7;,;Grade;,7,
;SC01Q08;,;Grade 8;,;Grade;,8,
;SC01Q09;,;Grade 9;,;Grade;,9,
;SC01Q10;,;Grade 10;,;Grade;,10,
;SC01Q11;,;Grade 11;,;Grade;,11,
;SC01Q12;,;Grade 12;,;Grade;,12,
;SC01Q13;,;Grade 13;,;Grade;,13,
;SC01Q14;,;Ungraded school;,;Ungraded school;,,
;SC02Q01;,;Public or private;,;Public or private;,,
;SC03Q01;,;Funding Government;,;Funding;,;Government;,
;SC03Q02;,;Funding Student fees;,;Funding;,;Student fees;,
;SC03Q03;,;Funding Benefactors;,;Funding;,;Benefactors;,
;SC03Q04;,;Funding Other;,;Funding;,;Other;,
;SC04Q01;,;School Community;,;School Community;,,
;SC05Q01;,;Available Schooling;,;Available Schooling;,,
;SC06Q01;,;Number of boys;,;Number of boys;,,
;SC06Q02;,;Number of girls;,;Number of girls;,,
;SC07Q01;,;Repeat <grade>  at <ISCED2>;,;Repeat <grade>  at <ISCED2>;,,
;SC07Q02;,;Repeat <grade>  at <ISCED3>;,;Repeat <grade>  at <ISCED3>;,,
;SC08Q01;,;First lang not test lang;,;First lang not test lang;,,
;SC09Q11;,;Ftime Teach in TOTAL;,;Ftime Teach in TOTAL;,,
;SC09Q12;,;Ptime Teach in TOTAL;,;Ptime Teach in TOTAL;,,
;SC09Q21;,;Ftime Teach fully certified;,;Ftime Teach fully certified;,,
;SC09Q22;,;Ptime Teach fully certified;,;Ptime Teach fully certified;,,
;SC09Q31;,;Ftime Teach ISCED5A Qual;,;Ftime Teach ISCED5A Qual;,,
;SC09Q32;,;Ptime Teach ISCED5A Qual;,;Ptime Teach ISCED5A Qual;,,
;SC10Q01;,;Total number of students;,;Total number of students;,,
;SC10Q02;,;Computers for Education;,;Computers for Education;,,
;SC10Q03;,;Computers with Internet;,;Computers with Internet;,,
;SC11Q01;,;Shortage of Sci Teachers;,;Shortage of Sci Teachers;,,
;SC11Q02;,;Shortage of Math Teachers;,;Shortage of Math Teachers;,,
;SC11Q03;,;Shortage <test lang> Teachers;,;Shortage <test lang> Teachers;,,
;SC11Q04;,;Shortage Qualified Teachers;,;Shortage Qualified Teachers;,,
;SC11Q05;,;Shortage library staff;,;Shortage library staff;,,
;SC11Q06;,;Shortage other personnel;,;Shortage other personnel;,,
;SC11Q07;,;Shortage sci lab equip;,;Shortage sci lab equip;,,
;SC11Q08;,;Shortage instruct material;,;Shortage instruct material;,,
;SC11Q09;,;Shortage computers;,;Shortage computers;,,
;SC11Q10;,;Shortage internet;,;Shortage internet;,,
;SC11Q11;,;Shortage computer software;,;Shortage computer software;,,
;SC11Q12;,;Shortage library materials;,;Shortage library materials;,,
;SC11Q13;,;Shortage audio-visual;,;Shortage audio-visual;,,
;SC12Q01;,;Streaming by levels;,;Streaming by levels;,,
;SC12Q02;,;Streaming by content;,;Streaming by content;,,
;SC13Q01;,;Band or choir;,;Band or choir;,,
;SC13Q02;,;School Play;,;School Play;,,
;SC13Q03;,;School Yearbook;,;School Yearbook;,,
;SC13Q04;,;Volunteering;,;Volunteering;,,
;SC13Q05;,;Book Club;,;Book Club;,,
;SC13Q06;,;Debating Club;,;Debating Club;,,
;SC13Q07;,;School competition;,;School competition;,,
;SC13Q08;,;<Academic Club>;,;<Academic Club>;,,
;SC13Q09;,;Art Activities;,;Art Activities;,,
;SC13Q10;,;Sporting Team;,;Sporting Team;,,
;SC13Q11;,;Lectures or Seminars;,;Lectures or Seminars;,,
;SC13Q12;,;Local Libraries;,;Local Libraries;,,
;SC13Q13;,;Local Newspapers;,;Local Newspapers;,,
;SC13Q14;,;<Country Specific>;,;<Country Specific>;,,
;SC14Q01;,;Additional Instruction;,;Additional Instruction;,,
;SC14Q02;,;Preparatory Programme;,;Preparatory Programme;,,
;SC14Q03;,;Some <first lang> instruction;,;Some <first lang> instruction;,,
;SC14Q04;,;More  <first lang> instruction;,;More  <first lang> instruction;,,
;SC14Q05;,;Class size reduced;,;Class size reduced;,,
;SC15Q01;,;Standardised Tests;,;Standardised Tests;,,
;SC15Q02;,;Teacher-developed tests;,;Teacher-developed tests;,,
;SC15Q03;,;Teacher judgements;,;Teacher judgements;,,
;SC15Q04;,;Student portfolios;,;Student portfolios;,,
;SC15Q05;,;Student Assignments;,;Student Assignments;,,
;SC16Q01;,;Assessments - Child's Progress;,;Assessments;,; Child's Progress;,
;SC16Q02;,;Assessments - Student Promotion;,;Assessments;,; Student Promotion;,
;SC16Q03;,;Assessments - Instruction;,;Assessments;,;Instruction;,
;SC16Q04;,;Assessments - National Perform;,;Assessments;,;National Perform;,
;SC16Q05;,;Assessments - School's Progress;,;Assessments;,;School's Progress;,
;SC16Q06;,;Assessments - Teachers;,;Assessments;,;Teachers;,
;SC16Q07;,;Assessments - Curriculum;,;Assessments;,;Curriculum;,
;SC16Q08;,;Assessments - Other Schools;,;Assessments;,;Other Schools;,
;SC17Q01;,;Teacher's low expectations;,;Teacher's low expectations;,,
;SC17Q02;,;Student absenteeism;,;Student absenteeism;,,
;SC17Q03;,;Student-teacher relations;,;Student-teacher relations;,,
;SC17Q04;,;Student Disruption;,;Student Disruption;,,
;SC17Q05;,;Student's needs not met;,;Student's needs not met;,,
;SC17Q06;,;Teacher absenteeism;,;Teacher absenteeism;,,
;SC17Q07;,;Skipping classes;,;Skipping classes;,,
;SC17Q08;,;Students lacking respect;,;Students lacking respect;,,
;SC17Q09;,;Staff resisting change;,;Staff resisting change;,,
;SC17Q10;,;Student drug use;,;Student drug use;,,
;SC17Q11;,;Teachers too strict;,;Teachers too strict;,,
;SC17Q12;,;Students being bullied;,;Students being bullied;,,
;SC17Q13;,;Students not encouraged;,;Students not encouraged;,,
;SC18Q01;,;Pressure Academic standards;,;Pressure Academic standards;,,
;SC19Q01;,;Admission - Residence;,;Admission;,;Academic record;,
