ID,Measure,Subject,Category,SubCategory,HebSubject,HebCategory,HebSubCategory,Year
ST01Q01,International Grade,Me,International Grade,,מאפייני התלמיד,,,2012
ST02Q01,National Study Programme,Me,National Study Programme,,מאפייני התלמיד,כיתה,,2012
ST03Q01,Birth - Month,Me,Birth,Month,מאפייני התלמיד,תאריך לידה,חודש,2012
ST03Q02,Birth -Year,Me,Birth,Year,מאפייני התלמיד,תאריך לידה,שנה,2012
ST04Q01,Gender,Me,Gender,,מאפייני התלמיד,מין,,2012
ST05Q01,Attend <ISCED 0>,Me,Attend <ISCED 0>,,מאפייני התלמיד,האם הלכת לגן ילדים (לא כולל מעונות ומשפחתונים),,2012
ST06Q01,Age at <ISCED 1>,Me,Age at <ISCED 1>,,מאפייני התלמיד,באיזה גיל התחלת ללכת לכיתה א',,2012
ST07Q01,Repeat - <ISCED 1>,Me,Repeat,<ISCED 1>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות א-ו,2012
ST07Q02,Repeat - <ISCED 2>,Me,Repeat,<ISCED 2>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות ז-ט,2012
ST07Q03,Repeat - <ISCED 3>,Me,Repeat,<ISCED 3>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות י-יב,2012
ST08Q01,Truancy - Late for School,Me,Truancy,Late for School,מאפייני התלמיד,העדרות מבית הספר,איחור,2012
ST09Q01,Truancy - Skip whole school day,Me,Truancy,Skip whole school day,מאפייני התלמיד,העדרות מבית הספר,העדרות מיום לימודים,2012
ST115Q01,Truancy - Skip classes within school day,Me,Truancy,Skip classes within school day,מאפייני התלמיד,העדרות מבית הספר,העדרות משיעור,2012
ST11Q01,At Home - Mother,Family and Home,At Home,Mother,משפחה ובית,מי גר איתך בבית,אמא,2012
ST11Q02,At Home - Father,Family and Home,At Home,Father,משפחה ובית,מי גר איתך בבית,אבא,2012
ST11Q03,At Home - Brothers,Family and Home,At Home,Brothers,משפחה ובית,מי גר איתך בבית,אחים,2012
ST11Q04,At Home - Sisters,Family and Home,At Home,Sisters,משפחה ובית,מי גר איתך בבית,אחיות,2012
ST11Q05,At Home - Grandparents,Family and Home,At Home,Grandparents,משפחה ובית,מי גר איתך בבית,סבים,2012
ST11Q06,At Home - Others,Family and Home,At Home,Others,משפחה ובית,מי גר איתך בבית,אחרים (בני דודים),2012
ST13Q01,Mother<Highest Schooling>,Family and Home,Mother,Highest Schooling,משפחה ובית,השכלת האם,תיכון עם תעודת בגרות,2012
ST14Q01,Mother Qualifications - <ISCED level 6>,Family and Home,Mother,<ISCED level 6>,משפחה ובית,השכלת האם,תיכון ללא תעודת בגרות,2012
ST14Q02,Mother Qualifications - <ISCED level 5A>,Family and Home,Mother,<ISCED level 5A>,משפחה ובית,השכלת האם,חטיבת ביניים,2012
ST14Q03,Mother Qualifications - <ISCED level 5B>,Family and Home,Mother,<ISCED level 5B>,משפחה ובית,השכלת האם,בית ספר יסודי,2012
ST14Q04,Mother Qualifications - <ISCED level 4>,Family and Home,Mother,<ISCED level 4>,משפחה ובית,השכלת האם,לא סיימה בית ספר יסודי,2012
ST15Q01,Mother Current Job Status,Family and Home,Mother,Current Job Status,משפחה ובית,עבודת האם,תיכון עם תעודת בגרות,2012
ST17Q01,Father<Highest Schooling>,Family and Home,Father,Highest Schooling,משפחה ובית,השכלת האב,תיכון ללא תעודת בגרות,2012
ST18Q01,Father Qualifications - <ISCED level 6>,Family and Home,Father,<ISCED level 6>,משפחה ובית,השכלת האב,חטיבת ביניים,2012
ST18Q02,Father Qualifications - <ISCED level 5A>,Family and Home,Father,<ISCED level 5A>,משפחה ובית,השכלת האב,,2012
ST18Q03,Father Qualifications - <ISCED level 5B>,Family and Home,Father,<ISCED level 5B>,משפחה ובית,השכלת האב,בית ספר יסודי,2012
ST18Q04,Father Qualifications - <ISCED level 4>,Family and Home,Father,<ISCED level 4>,משפחה ובית,השכלת האב,לא סיים בית ספר יסודי,2012
ST19Q01,Father Current Job Status,Family and Home,Father,Current Job Status,משפחה ובית,עבודת האב,,2012
ST20Q01,Country of Birth - Self,Family and Home,Country of Birth,Self,משפחה ובית,ארץ לידה,תלמיד/ה,2012
ST20Q02,Country of Birth - Mother,Family and Home,Country of Birth,Mother,משפחה ובית,ארץ לידה,אמא,2012
ST20Q03,Country of Birth - Father,Family and Home,Country of Birth,Father,משפחה ובית,ארץ לידה,אבא,2012
ST21Q01,Age of arrival in <country of test>,Family and Home,Country of Birth,Age of arrival in <country of test>,משפחה ובית,גיל עליה,,2012
ST25Q01,International Language at Home,Family and Home,Country of Birth,International Language at Home,משפחה ובית,שפה בבית,,2012
ST26Q01,Possessions - desk,Family and Home,Possessions,desk,משפחה ובית,חפצים,שולחן לימודים,2012
ST26Q02,Possessions - own room,Family and Home,Possessions,own room,משפחה ובית,חפצים,חדר לבד,2012
ST26Q03,Possessions - study place,Family and Home,Possessions,study place,משפחה ובית,חפצים,מקום שקט ללמוד,2012
ST26Q04,Possessions - computer,Family and Home,Possessions,computer,משפחה ובית,חפצים,מחשב ללימודים,2012
ST26Q05,Possessions - software,Family and Home,Possessions,software,משפחה ובית,חפצים,תוכנה לימודית,2012
ST26Q06,Possessions - Internet,Family and Home,Possessions,Internet,משפחה ובית,חפצים,חיבור לאינטרנט,2012
ST26Q07,Possessions - literature,Family and Home,Possessions,literature,משפחה ובית,חפצים,ספרות קלאסית,2012
ST26Q08,Possessions - poetry,Family and Home,Possessions,poetry,משפחה ובית,חפצים,ספרי שירה,2012
ST26Q09,Possessions - art,Family and Home,Possessions,art,משפחה ובית,חפצים,יצירות אמנות,2012
ST26Q10,Possessions - textbooks,Family and Home,Possessions,textbooks,משפחה ובית,חפצים,ספרי עזר ללימודים,2012
ST26Q11,Possessions - <technical reference books>,Family and Home,Possessions,technical reference books,משפחה ובית,חפצים,ספרי עזר טכניים,2012
ST26Q12,Possessions - dictionary,Family and Home,Possessions,dictionary,משפחה ובית,חפצים,מילון,2012
ST26Q13,Possessions - dishwasher,Family and Home,Possessions,dishwasher,משפחה ובית,חפצים,מדיח כלים,2012
ST26Q14,Possessions - <DVD>,Family and Home,Possessions,DVD,משפחה ובית,חפצים,DVD,2012
ST26Q15,Possessions - <Country item 1>,Family and Home,Possessions,<Country item 1>,,,,2012
ST26Q16,Possessions - <Country item 2>,Family and Home,Possessions,<Country item 2>,,,,2012
ST26Q17,Possessions - <Country item 3>,Family and Home,Possessions,<Country item 3>,משפחה ובית,חפצים,,2012
ST27Q01,How many - cellular phones,Family and Home,Possessions,cellular phones,משפחה ובית,חפצים,טלפונים ניידים,2012
ST27Q02,How many - televisions,Family and Home,Possessions,televisions,משפחה ובית,חפצים,מכשירי טלוויזיה,2012
ST27Q03,How many - computers,Family and Home,Possessions,computers,משפחה ובית,חפצים,מחשבים,2012
ST27Q04,How many - cars,Family and Home,Possessions,cars,משפחה ובית,חפצים,מכוניות,2012
ST27Q05,How many - rooms bath or shower,Family and Home,Possessions,rooms bath or shower,,,,2012
ST28Q01,How many books at home,Family and Home,Possessions,Books,,,,2012
ST29Q01,Maths Interest - Enjoy Reading,Learning Mathematics,Maths Interest,Enjoy Reading,לימודי מתמטיקה,עניין,נהנה לקרוא,2012
ST29Q02,Instrumental Motivation - Worthwhile for Work,Learning Mathematics,Instrumental Motivation,Worthwhile for Work,לימודי מתמטיקה,מוטיבציה,משתלם לעבודה,2012
ST29Q03,Maths Interest - Look Forward to Lessons,Learning Mathematics,Maths Interest,Look Forward to Lessons,לימודי מתמטיקה,עניין,מצפה לשיעורים,2012
ST29Q04,Maths Interest - Enjoy Maths,Learning Mathematics,Maths Interest,Enjoy Maths,לימודי מתמטיקה,עניין,נהנה ממתמטיקה,2012
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,Learning Mathematics,Instrumental Motivation,Worthwhile for Career Chances,לימודי מתמטיקה,מוטיבציה,טוב לקריירה,2012
ST29Q06,Maths Interest - Interested,Learning Mathematics,Maths Interest,Interested,לימודי מתמטיקה,עניין,מתעניין,2012
ST29Q07,Instrumental Motivation - Important for Future Study,Learning Mathematics,Instrumental Motivation,Important for Future Study,לימודי מתמטיקה,מוטיבציה,חשוב ללימודים בהמשך,2012
ST29Q08,Instrumental Motivation - Helps to Get a Job,Learning Mathematics,Instrumental Motivation,Helps to Get a Job,לימודי מתמטיקה,מוטיבציה,עוזר למצוא עבודה,2012
ST35Q01,Subjective Norms - Friends Do Well in Mathematics,Learning Mathematics,Subjective Norms,Friends Do Well in Mathematics,לימודי מתמטיקה,נורמות אישיות,חבריי מצליחים במתמטיקה,2012
ST35Q02,Subjective Norms - Friends Work Hard on Mathematics,Learning Mathematics,Subjective Norms,Friends Work Hard on Mathematics,לימודי מתמטיקה,נורמות אישיות,חבריי משקיעים במתמטיקה,2012
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,Learning Mathematics,Subjective Norms,Friends Enjoy Mathematics Tests,לימודי מתמטיקה,נורמות אישיות,חבריי אוהבים מבחנים במתמטיקה,2012
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,Learning Mathematics,Subjective Norms,Parents Believe Studying Mathematics Is Important,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה זה חשוב,2012
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,Learning Mathematics,Subjective Norms,Parents Believe Mathematics Is Important for Career,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה חשובה לקריירה,2012
ST35Q06,Subjective Norms - Parents Like Mathematics,Learning Mathematics,Subjective Norms,Parents Like Mathematics,לימודי מתמטיקה,נורמות אישיות,הוריי אוהבים מתמטיקה,2012
ST37Q01,Maths Self-Efficacy - Using a <Train Timetable>,Learning Mathematics,Maths Self,Using a <Train Timetable>,לימודי מתמטיקה,הערכת עצמית,שימוש בלוח רכבות,2012
ST37Q02,Maths Self-Efficacy - Calculating TV Discount,Learning Mathematics,Maths Self,Calculating TV Discount,לימודי מתמטיקה,הערכת עצמית,חישוב הנחה על טלוויזיה,2012
ST37Q03,Maths Self-Efficacy - Calculating Square Metres of Tiles,Learning Mathematics,Maths Self,Calculating Square Metres of Tiles,לימודי מתמטיקה,הערכת עצמית,חישוב שטח רצפה,2012
ST37Q04,Maths Self-Efficacy - Understanding Graphs in Newspapers,Learning Mathematics,Maths Self,Understanding Graphs in Newspapers,לימודי מתמטיקה,הערכת עצמית,הבנת גרפים בעיתונים,2012
ST37Q05,Maths Self-Efficacy - Solving Equation 1,Learning Mathematics,Maths Self,Solving Equation 1,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 1,2012
ST37Q06,Maths Self-Efficacy - Distance to Scale,Learning Mathematics,Maths Self,Distance to Scale,לימודי מתמטיקה,הערכת עצמית,,2012
ST37Q07,Maths Self-Efficacy - Solving Equation 2,Learning Mathematics,Maths Self,Solving Equation 2,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 2,2012
ST37Q08,Maths Self-Efficacy - Calculate Petrol Consumption Rate,Learning Mathematics,Maths Self,Calculate Petrol Consumption Rate,לימודי מתמטיקה,הערכת עצמית,,2012
ST42Q01,Maths Anxiety - Worry That It Will Be Difficult,Learning Mathematics,Maths Anxiety,Worry That It Will Be Difficult,לימודי מתמטיקה,חרדות,פחד שיהיה קשה,2012
ST42Q02,Maths Self-Concept - Not Good at Maths,Learning Mathematics,Maths Self-Concept,Not Good at Maths,לימודי מתמטיקה,הערכת עצמית,לא טוב במתמטיקה,2012
ST42Q03,Maths Anxiety - Get Very Tense,Learning Mathematics,Maths Anxiety,Get Very Tense,לימודי מתמטיקה,חרדות,נהיה לחוץ,2012
ST42Q04,Maths Self-Concept - Get Good <Grades>,Learning Mathematics,Maths Self-Concept,Get Good Grades,לימודי מתמטיקה,הערכת עצמית,מקבל ציונים טובים,2012
ST42Q05,Maths Anxiety - Get Very Nervous,Learning Mathematics,Maths Anxiety,Get Very Nervous,לימודי מתמטיקה,חרדות,נהיה עצבני,2012
ST42Q06,Maths Self-Concept - Learn Quickly,Learning Mathematics,Maths Self-Concept,Learn Quickly,לימודי מתמטיקה,הערכת עצמית,לומד מהר,2012
ST42Q07,Maths Self-Concept - One of Best Subjects,Learning Mathematics,Maths Self-Concept,One of Best Subjects,לימודי מתמטיקה,הערכת עצמית,אחד מהמקצועות הטובים,2012
ST42Q08,Maths Anxiety - Feel Helpless,Learning Mathematics,Maths Anxiety,Feel Helpless,לימודי מתמטיקה,חרדות,מרגיש חסר אונים,2012
ST42Q09,Maths Self-Concept - Understand Difficult Work,Learning Mathematics,Maths Self-Concept,Understand Difficult Work,לימודי מתמטיקה,הערכת עצמית,מבין עבודה קשה,2012
ST42Q10,Maths Anxiety - Worry About Getting Poor <Grades>,Learning Mathematics,Maths Anxiety,Worry About Getting Poor Grades,לימודי מתמטיקה,חרדות,דואג מקבלת ציונים נמוכים,2012
ST43Q01,Perceived Control - Can Succeed with Enough Effort,Learning Mathematics,Perceived Control,Can Succeed with Enough Effort,לימודי מתמטיקה,תפיסת שליטה,יכול להצליח עם מספיק מאמץ,2012
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,Learning Mathematics,Perceived Control,Doing Well is Completely Up to Me,לימודי מתמטיקה,תפיסת שליטה,להיות בסדר תלוי לגמרי בי,2012
ST43Q03,Perceived Control - Family Demands and Problems,Learning Mathematics,Perceived Control,Family Demands and Problems,לימודי מתמטיקה,תפיסת שליטה,צרכים משפחתיים ובעיות,2012
ST43Q04,Perceived Control - Different Teachers,Learning Mathematics,Perceived Control,Different Teachers,לימודי מתמטיקה,תפיסת שליטה,מורים שונים,2012
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,Learning Mathematics,Perceived Control,If I Wanted I Could Perform Well,לימודי מתמטיקה,תפיסת שליטה,אם הייתי רוצה הייתי יכול להיות בסדר,2012
ST43Q06,Perceived Control - Perform Poorly Regardless,Learning Mathematics,Perceived Control,Perform Poorly Regardless,לימודי מתמטיקה,תפיסת שליטה,,2012
ST44Q01,Attributions to Failure - Not Good at Maths Problems,Learning Mathematics,Attributions to Failure,Not Good at Maths Problems,לימודי מתמטיקה,הסברים לכשלון,לא טוב בבעיות מתמטיות,2012
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,Learning Mathematics,Attributions to Failure,Teacher Did Not Explain Well,לימודי מתמטיקה,הסברים לכשלון,המורה לא הסבירה טוב,2012
ST44Q04,Attributions to Failure - Bad Guesses,Learning Mathematics,Attributions to Failure,Bad Guesses,לימודי מתמטיקה,הסברים לכשלון,ניחושים גרועים,2012
ST44Q05,Attributions to Failure - Material Too Hard,Learning Mathematics,Attributions to Failure,Material Too Hard,לימודי מתמטיקה,הסברים לכשלון,החומר קשה מדי,2012
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,Learning Mathematics,Attributions to Failure,Teacher Didnt Get Students Interested,לימודי מתמטיקה,הסברים לכשלון,המורה לא גורמת לתלמידים להתעניין,2012
ST44Q08,Attributions to Failure - Unlucky,Learning Mathematics,Attributions to Failure,Unlucky,לימודי מתמטיקה,הסברים לכשלון,חוסר מזל,2012
ST46Q01,Maths Work Ethic - Homework Completed in Time,Learning Mathematics,Maths Work Ethic,Homework Completed in Time,לימודי מתמטיקה,הכנת שיעורי בית,סיום שיעורי בית בזמן,2012
ST46Q02,Maths Work Ethic - Work Hard on Homework,Learning Mathematics,Maths Work Ethic,Work Hard on Homework,לימודי מתמטיקה,הכנת שיעורי בית,השקעה בשיעורי הבית,2012
ST46Q03,Maths Work Ethic - Prepared for Exams,Learning Mathematics,Maths Work Ethic,Prepared for Exams,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות למבחנים,2012
ST46Q04,Maths Work Ethic - Study Hard for Quizzes,Learning Mathematics,Maths Work Ethic,Study Hard for Quizzes,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות לבחנים,2012
ST46Q05,Maths Work Ethic - Study Until I Understand Everything,Learning Mathematics,Maths Work Ethic,Study Until I Understand Everything,לימודי מתמטיקה,הכנת שיעורי בית,לימוד עד שהכל מובן,2012
ST46Q06,Maths Work Ethic - Pay Attention in Classes,Learning Mathematics,Maths Work Ethic,Pay Attention in Classes,לימודי מתמטיקה,הכנת שיעורי בית,תשומת לב בשיעורים,2012
ST46Q07,Maths Work Ethic - Listen in Classes,Learning Mathematics,Maths Work Ethic,Listen in Classes,לימודי מתמטיקה,הכנת שיעורי בית,הקשבה בשיעורים,2012
ST46Q08,Maths Work Ethic - Avoid Distractions When Studying,Learning Mathematics,Maths Work Ethic,Avoid Distractions When Studying,לימודי מתמטיקה,הכנת שיעורי בית,מניעת הסחות בזמן לימוד,2012
ST46Q09,Maths Work Ethic - Keep Work Organized,Learning Mathematics,Maths Work Ethic,Keep Work Organized,לימודי מתמטיקה,הכנת שיעורי בית,עבודה מאורגנת,2012
ST48Q01,Maths Intentions - Mathematics vs. Language Courses After School,Learning Mathematics,Maths Intentions,Mathematics vs. Language Courses After School,לימודי מתמטיקה,,מתמטיקה לעומת קורסי שפה אחרי בית ספר,2012
ST48Q02,Maths Intentions - Mathematics vs. Science Related Major in College,Learning Mathematics,Maths Intentions,Mathematics vs. Science Related Major in College,לימודי מתמטיקה,,,2012
ST48Q03,Maths Intentions - Study Harder in Mathematics vs. Language Classes,Learning Mathematics,Maths Intentions,Study Harder in Mathematics vs. Language Classes,לימודי מתמטיקה,,,2012
ST48Q04,Maths Intentions - Take Maximum Number of Mathematics vs. Science Classes,Learning Mathematics,Maths Intentions,Take Maximum Number of Mathematics vs. Science Classes,לימודי מתמטיקה,,,2012
ST48Q05,Maths Intentions - Pursuing a Career That Involves Mathematics vs. Science,Learning Mathematics,Maths Intentions,Pursuing a Career That Involves Mathematics vs. Science,לימודי מתמטיקה,,,2012
ST49Q01,Maths Behaviour - Talk about Maths with Friends,Learning Mathematics,Maths Behaviour,Talk about Maths with Friends,לימודי מתמטיקה,התנהגות,מדבר על מתמטיקה עם חברים,2012
ST49Q02,Maths Behaviour - Help Friends with Maths,Learning Mathematics,Maths Behaviour,Help Friends with Maths,לימודי מתמטיקה,התנהגות,עוזר לחברים במתמטיקה,2012
ST49Q03,Maths Behaviour - <Extracurricular> Activity,Learning Mathematics,Maths Behaviour,<Extracurricular> Activity,לימודי מתמטיקה,התנהגות,פעילות מחוץ ללימוד,2012
