SCHOOLID,Language.of.test,General.Stratum
1,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
2,ISR_Hebrew,ISR_Hebrew_Secular
3,ISR_Arabic,
4,ISR_Hebrew,ISR_Hebrew_Secular
5,ISR_Arabic,
6,ISR_Hebrew,ISR_Hebrew_Secular
7,ISR_Hebrew,ISR_Hebrew_Secular
8,ISR_Hebrew,ISR_Hebrew_Secular
9,ISR_Hebrew,ISR_Hebrew_Secular
10,ISR_Hebrew,ISR_Hebrew_Religious
11,ISR_Arabic,
12,ISR_Hebrew,ISR_Hebrew_Secular
13,ISR_Hebrew,ISR_Hebrew_Secular
14,ISR_Arabic,
15,ISR_Hebrew,ISR_Hebrew_Religious
16,ISR_Hebrew,ISR_Hebrew_Secular
17,ISR_Hebrew,ISR_Hebrew_Secular
18,ISR_Hebrew,ISR_Hebrew_Secular
19,ISR_Hebrew,ISR_Hebrew_Secular
20,ISR_Arabic,
21,ISR_Hebrew,ISR_Hebrew_Secular
22,ISR_Arabic,
23,ISR_Hebrew,ISR_Hebrew_Secular
24,ISR_Hebrew,ISR_Hebrew_Secular
25,ISR_Hebrew,ISR_Hebrew_Secular
26,ISR_Hebrew,ISR_Hebrew_Secular
27,ISR_Hebrew,ISR_Hebrew_Secular
28,ISR_Arabic,
29,ISR_Hebrew,ISR_Hebrew_Religious
30,ISR_Hebrew,ISR_Hebrew_Religious
31,ISR_Hebrew,ISR_Hebrew_Secular
32,ISR_Arabic,
33,ISR_Hebrew,ISR_Hebrew_Secular
34,ISR_Hebrew,ISR_Hebrew_Secular
35,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
36,ISR_Hebrew,ISR_Hebrew_Secular
37,ISR_Hebrew,ISR_Hebrew_Secular
38,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
39,ISR_Hebrew,ISR_Hebrew_Religious
40,ISR_Hebrew,ISR_Hebrew_Religious
41,ISR_Arabic,
42,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
43,ISR_Hebrew,ISR_Hebrew_Secular
44,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
45,ISR_Hebrew,ISR_Hebrew_Secular
46,ISR_Arabic,
47,ISR_Hebrew,ISR_Hebrew_Secular
48,ISR_Hebrew,ISR_Hebrew_Secular
49,ISR_Arabic,
50,ISR_Hebrew,ISR_Hebrew_Secular
51,ISR_Hebrew,ISR_Hebrew_Secular
52,ISR_Arabic,
53,ISR_Hebrew,ISR_Hebrew_Secular
54,ISR_Hebrew,ISR_Hebrew_Religious
55,ISR_Hebrew,ISR_Hebrew_Secular
56,ISR_Hebrew,ISR_Hebrew_Religious
57,ISR_Hebrew,ISR_Hebrew_Secular
58,ISR_Arabic,
59,ISR_Hebrew,ISR_Hebrew_Secular
60,ISR_Arabic,
