ID,description,Gender,ESCS,Performers,Average
ST26Q01,Possessions - desk,0,0,Yes,92
ST26Q01,Possessions - desk,0,0,No,4
ST26Q01,Possessions - desk,0,0,NA,4
ST26Q02,Possessions - own room,0,0,NA,100
ST26Q03,Possessions - study place,0,0,Yes,90
ST26Q03,Possessions - study place,0,0,No,6
ST26Q03,Possessions - study place,0,0,NA,4
ST26Q04,Possessions - computer,0,0,Yes,90
ST26Q04,Possessions - computer,0,0,No,6
ST26Q04,Possessions - computer,0,0,NA,4
ST26Q05,Possessions - software,0,0,Yes,47
ST26Q05,Possessions - software,0,0,No,45
ST26Q05,Possessions - software,0,0,NA,8
ST26Q06,Possessions - Internet,0,0,Yes,85
ST26Q06,Possessions - Internet,0,0,No,9
ST26Q06,Possessions - Internet,0,0,NA,6
ST26Q07,Possessions - literature,0,0,Yes,50
ST26Q07,Possessions - literature,0,0,No,42
ST26Q07,Possessions - literature,0,0,NA,7
ST26Q08,Possessions - poetry,0,0,Yes,49
ST26Q08,Possessions - poetry,0,0,No,44
ST26Q08,Possessions - poetry,0,0,NA,7
ST26Q09,Possessions - art,0,0,Yes,65
ST26Q09,Possessions - art,0,0,No,29
ST26Q09,Possessions - art,0,0,NA,6
ST26Q10,Possessions - textbooks,0,0,Yes,80
ST26Q10,Possessions - textbooks,0,0,No,15
ST26Q10,Possessions - textbooks,0,0,NA,5
ST26Q11,Possessions - <technical reference books>,0,0,Yes,55
ST26Q11,Possessions - <technical reference books>,0,0,No,38
ST26Q11,Possessions - <technical reference books>,0,0,NA,8
ST26Q12,Possessions - dictionary,0,0,Yes,94
ST26Q12,Possessions - dictionary,0,0,No,2
ST26Q12,Possessions - dictionary,0,0,NA,4
ST26Q13,Possessions - dishwasher,0,0,Yes,61
ST26Q13,Possessions - dishwasher,0,0,No,34
ST26Q13,Possessions - dishwasher,0,0,NA,5
ST26Q14,Possessions - <DVD>,0,0,Yes,83
ST26Q14,Possessions - <DVD>,0,0,No,11
ST26Q14,Possessions - <DVD>,0,0,NA,6
